"Order","ID","Filename","Event","Distance.m","Sensor.Height.m","Source.Height.m","a1.bkgCH4.ppm","bkgCH4.ppm","Pressure.mbar","X.u","X.v","X.w","X.t","X.u2","X.v2","X.w2","X.t2","X.uv","X.uw","X.ut","X.vw","X.vt","X.wt","GPS.Latitude","GPS.Latitude.StdDev","GPS.Longitude","GPS.Longitude.StdDev","Mean.CO2.ppm","Stdev.CO2.ppm","X5.N","High.Methane.ppm","Avg.High.5.Methane.ppm","Stddev.High.5.Methane.ppm","Low.Methane.ppm","Avg.Low.5.Methane.ppm","Stddev.Low.5.Methane.ppm","Mean.Methane.ppm","Mean.Methane.bkg.ppm","X3DS.2D.Wind.Speed.m.s","Temp.K","Mean.2DWind.deg","Mean.3DWind.deg","Std.WD.2D.deg","Std.WD.3D.deg","Turbulent.Intensity","WS.2D.PGI","WS.3D.PGI","StdDev.WD.2D.PGI","StdDev.WD.3D.PGI","Turbulent.Intensity.PGI","Weighted.Avg.PGI","Estimated.PGI","PG.y.m","PG.z.m","Centroid.Dir.deg","Angle.Bin.Size.deg","wind.Speed.Cut.m.s","Accept.Angle.Limit.deg","Bin.Density.Cut","a1.ppm","X.deg","CH4.a1.g.m3","X.y.m","rsq","BinQA","Count.QA","Temp.QA","X3Dtemp.stdev.QA","X3Dtemp.min.QA","X3Dtemp.max.QA","X","Estimated.z.m","Approx.Release.Rate.g.s","PSG.Emission.Estimate.g.s","Sig.y.Emission.Estimate.g.s","PSG.Error","X3d.xcord.m","X3d.ycord.m","Centroid.xcord.m","Centroid.ycord.m","A1.bLs.bkg","A1.bLs.g.s","Wind.Var.DQI","X.1","PSG.bLs.combined.Emission.Estimate.g.s"
11,"5050611_6",5050611,6,102.96,2.69,3,2.02,1.82,996.2,-0.26,-4.09,-0.05,16.38,2.07,18,0.22,268.48,0.9,0.18,-4.13,0.27,-66.73,-0.75,35.97,7e-07,-79.093,5.2e-07,384,2,313,3.68,2.38,0.27,1.82,1.82,0.001,1.88,0.06,4.33,291,213.7,183.6,17.79,19.27,0.108,5,5,4,4,5,4.5,5,12.63,7.53,195,10,0,60,2,0.196,8.42,0.000129,15.16,0.98,20,1422,1.005,0.6,15.6,18.8,NA,7.6,0.6,0.34,0.41,-44,-6.4,102.8,-26.6,99.5,NA,0.36,1.1,NA,0.35
12,"5050611_7",5050611,7,102.96,2.69,3,2.05,1.82,995.8,0,-2.53,0,16.62,0.89,7.35,0.16,276.32,-0.04,0.05,-0.04,0.06,-41.89,0.05,35.97,2.6e-07,-79.093,3.7e-07,383,1,348,5.1,3.06,0.47,1.81,1.82,0.001,1.99,0.17,2.68,291.4,222.2,180,17.36,19.78,0.151,3,3,4,3,4,4,4,16.06,9.15,175,10,0,60,2,0.23,19.59,0.000152,35.55,0.97,18,1599,1.006,0.4,15.9,18.5,NA,17.8,0.6,0.38,1.61,-37,-0.1,103,9,102.6,NA,0.36,0.7,NA,0.37
13,"5050611_8",5050611,8,82,2.69,3,2.52,1.82,995.7,-0.02,-2.1,-0.01,16.33,0.61,5.31,0.11,266.64,-0.01,0.04,-0.32,0.12,-34.22,-0.08,35.97,4.4e-07,-79.093,1.3e-06,382,2,337,7.67,4.85,0.82,1.82,1.82,0.001,2.25,0.43,2.23,290.9,221.5,180.5,20.97,21.15,0.15,2,2,3,3,4,3.5,4,12.99,7.39,185,10,0,60,2,0.7,15.68,0.000462,22.58,0.97,19,1569,1.005,0.2,16.1,17.2,NA,11.3,0.6,0.62,1.65,4,-0.8,82,-7.1,81.7,NA,0.63,0.7,NA,0.62
14,"5050611_9",5050611,9,57,2.69,3,2.78,1.81,994.2,-0.35,-2.39,-0.05,17.24,1.53,6.68,0.18,297.16,0.68,0.09,-6.16,0.16,-41.02,-0.8,35.97,3.4e-07,-79.093,4.5e-07,380,2,292,15.88,6.52,2.1,1.81,1.81,0.001,2.23,0.42,2.66,292,212.3,188.4,24,25.16,0.158,3,3,2,2,3,2.5,3,11.36,6.21,195,10,0,60,2,0.967,12.1,0.000635,12.08,0.96,20,869,1.006,0.3,16.7,19.1,NA,6,0.6,0.75,0.78,25,-8.4,56.4,-14.8,55.1,NA,0.88,1.8,NA,0.82
15,"5050611_10",5050611,10,57,2.69,3,2.68,1.81,993.9,-0.32,-1.53,-0.01,17.69,0.81,2.74,0.09,313.2,0.34,0,-5.63,0.04,-27.06,-0.16,35.97,3.8e-07,-79.093,3.1e-07,379,3,266,10.56,5.8,1.19,1.81,1.81,0.001,2.31,0.5,1.77,292.6,242.3,191.7,31.06,27.63,0.17,2,2,1,1,3,2,2,13.64,7.17,205,10,0,60,2,0.874,20.93,0.000573,21.06,0.96,21,839,1.006,0.5,16.9,19.8,NA,10.5,0.6,0.62,1.42,4,-11.5,55.8,-24.1,51.7,NA,0.67,0.9,NA,0.65
16,"6061411_1",6061411,1,81,2.69,2,2.69,1.76,787,0.49,-2.94,-0.01,10.21,0.96,9.86,0.12,105,-1.61,-0.04,4.85,0.14,-29.78,0.02,42.802,6.4e-07,-109.816,1.5e-06,399,8,403,7.81,4.33,0.84,1.76,1.76,0.002,2.26,0.5,3.1,285.2,298.8,170.6,18.34,17.16,0.113,3,3,4,4,5,4.5,5,10.09,6.02,155,10,0,60,2,0.923,14.12,0.000491,20.06,0.97,16,1870,1.007,0.9,8.9,14.7,NA,10,0.6,0.58,1.92,-3,13.3,79.9,34.2,73.4,NA,0.5,0,NA,0.54
17,"6061411_3",6061411,3,97.8,2.69,3,2.01,1.77,786.9,0,-4.15,0,11.45,1.87,19.67,0.2,131.97,-0.22,-0.08,0.18,0.1,-47.45,0.16,42.802,8.4e-07,-109.816,8.3e-07,399,11,624,3.57,2.58,0.23,1.76,1.77,0.002,1.93,0.16,4.35,286.4,292.7,180,17.34,18.17,0.102,5,5,4,4,6,5,5,12.05,7.19,165,10,0,60,2,0.247,18.89,0.000131,32.55,0.97,17,3068,1.006,0.9,9.8,14.7,NA,16.3,0.6,0.31,1.9,-48,0.1,97.8,25.3,94.5,NA,0.31,0.2,NA,0.31
18,"6061411_4",6061411,4,65.4,2.69,3,2.8,1.76,786.8,0,-5.33,0,12.18,2.03,30.82,0.24,149.19,0.93,-0.07,-0.17,0.11,-64.72,0.18,42.802,1e-06,-109.816,2.5e-06,391,5,678,5.48,4.11,0.23,1.76,1.76,0.001,2.3,0.54,5.52,287,292.9,180,15.25,16.11,0.089,6,6,5,4,6,5.5,6,6.83,4.02,165,10,0,60,2,1.04,13.72,0.00055,15.74,1,17,3349,1.006,0.9,10.4,15.9,NA,7.9,0.6,0.52,2.36,-13,0,65.4,16.9,63.2,NA,0.6,1.9,NA,0.56
19,"6061411_5",6061411,5,41,2.69,3,3.05,1.77,786.7,0,-6.12,0,12.78,4.07,39.2,0.39,164.08,0.13,-0.15,0.01,0.27,-77.8,0.22,42.802,4.6e-07,-109.817,5.2e-07,388,4,624,5.41,4.21,0.25,1.76,1.77,0.003,2.56,0.79,6.44,287.7,287.5,180,17.09,17.88,0.097,7,7,4,4,6,5,5,5.46,3.29,175,10,0,60,2,1.28,14.61,0.000675,10.51,1,18,3098,1.006,0.9,10.9,16,NA,5.3,0.6,0.49,1.51,-18,0,41,3.6,40.8,NA,0.75,1.6,NA,0.62
20,"6061411_6",6061411,6,92.9,2.69,3,2.23,1.77,786.7,0,-7.01,0,13.07,2.51,51.13,0.4,171.63,0.11,-0.02,0.03,0.28,-90.94,0.24,42.802,8.3e-07,-109.816,8.4e-07,386,4,635,3.15,2.74,0.11,1.76,1.77,0.001,2.07,0.3,7.18,288,293.6,180,12.42,12.5,0.088,7,7,5,5,6,5.5,6,9.52,5.55,165,10,0,60,2,0.466,14.63,0.000245,23.85,0.99,17,3834,1.006,0.9,11.1,16.4,NA,11.9,0.6,0.59,3.15,-2,0,92.9,24,89.7,NA,0.51,1.8,NA,0.55
